0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:27 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:27 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:27 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:27 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:27 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:28 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 74947
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:32 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 52070
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:00 +0200] "GET /ProgrammaBiennale2020/m/Cronoprogramma?detail=2020 HTTP/1.1" 200 14163
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:00 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:00 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:00 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:00 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:00 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:00 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 200 46702
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:00 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:01 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:02 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 52061
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:08 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 38892
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:09 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 74945
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:11 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 52070
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:14 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 39899
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:15 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 74947
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:16 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 52079
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:55:20 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:02 +0200] "GET /ProgrammaBiennale2020/m/Cronoprogramma?detail=2020 HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:02 +0200] "GET /ProgrammaBiennale2020/xava/style/layout.css?ox=6.1.2 HTTP/1.1" 200 728
