127.0.0.1 - - [05/Jun/2020:12:15:34 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/js/openxava.js?ox=6.1.2 HTTP/1.1" 200 40912
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/calendar/calendar.js?ox=6.1.2 HTTP/1.1" 200 49465
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/calendar/lang/calendar-it.js?ox=6.1.2 HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/js/calendar.js?ox=6.1.2 HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery.js?ox=6.1.2 HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery-ui.js?ox=6.1.2 HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery.sorttable.js?ox=6.1.2 HTTP/1.1" 200 8889
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery.ui.touch-punch.js?ox=6.1.2 HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/js/typewatch.js?ox=6.1.2 HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/autoNumeric.js?ox=6.1.2 HTTP/1.1" 200 19587
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/c3.js?ox=6.1.2 HTTP/1.1" 200 138210
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/chartDataEditor.js?ox=6.1.2 HTTP/1.1" 200 2881
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/ckeditor.js?ox=6.1.2 HTTP/1.1" 200 565399
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/d3.js?ox=6.1.2 HTTP/1.1" 200 151125
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/descriptionsEditor.js?ox=6.1.2 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/discussionEditor.js?ox=6.1.2 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/elementCollectionEditor.js?ox=6.1.2 HTTP/1.1" 200 2910
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/htmlEditor.js?ox=6.1.2 HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/jquery-ckeditor-adapter.js?ox=6.1.2 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/textEditor.js?ox=6.1.2 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/yahoo-dom-event.js?ox=6.1.2 HTTP/1.1" 200 36989
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/yahoo-treeview-min.js?ox=6.1.2 HTTP/1.1" 200 34313
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:42 +0200] "GET /ProgrammaBiennale2020/naviox/js/naviox.js?ox=6.1.2 HTTP/1.1" 200 3855
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:43 +0200] "GET /ProgrammaBiennale2020/xava/fonts/roboto-regular-webfont.woff HTTP/1.1" 200 20924
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:43 +0200] "GET /ProgrammaBiennale2020/xava/fonts/materialdesignicons-webfont.woff?v=1.9.32 HTTP/1.1" 200 135276
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:43 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:43 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:47 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:50 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:52 +0200] "GET /ProgrammaBiennale2020/m/ProcedureProgramma HTTP/1.1" 200 14029
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:52 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:52 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:52 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:52 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:52 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:52 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:53 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:53 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:15:56 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 148367
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:05 +0200] "GET /ProgrammaBiennale2020/m/ProcedureProgramma?init=true HTTP/1.1" 200 14039
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:05 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:05 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:05 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:06 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 148367
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:16:14 +0200] "GET /ProgrammaBiennale2020/xava/style/materialdesignicons.min.css.map HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:31 +0200] "GET /ProgrammaBiennale2020/m/ProcedureProgramma?init=true HTTP/1.1" 200 14039
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:31 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:31 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:31 +0200] "GET /ProgrammaBiennale2020/xava/style/materialdesignicons.min.css.map HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:31 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:32 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 148367
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:58 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Tab.setFilterVisible.dwr HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:17:58 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Tab.setFilterVisible.dwr HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:18:00 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 36339
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:18:00 +0200] "GET /ProgrammaBiennale2020/xava/style/smoothness/images/ui-icons_222222_256x240.png HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:18:00 +0200] "GET /ProgrammaBiennale2020/xava/style/smoothness/images/ui-icons_888888_256x240.png HTTP/1.1" 200 6999
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:18:01 +0200] "GET /ProgrammaBiennale2020/xava/style/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:18:03 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 166547
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:20:06 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 624495
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:20:09 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 6370
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:20:11 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 166982
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:21:25 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 79870
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:21:37 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 79944
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:21:42 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 64090
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:21:58 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 64189
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:22:09 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 64271
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:22:12 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 64335
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:22:14 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 91993
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:22:26 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 64401
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:22:30 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 64497
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:22:49 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 64582
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:22:50 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 92256
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:06 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 36340
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:09 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Tab.filterColumns.dwr HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:10 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Tab.filterColumns.dwr HTTP/1.1" 200 7968
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:17 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 103556
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:20 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 67710
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:25 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 96689
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:28 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 169233
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:29 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Tab.setFilterVisible.dwr HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:31 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Tab.setFilterVisible.dwr HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:34 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 36340
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:23:36 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 167702
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:27:45 +0200] "GET /ProgrammaBiennale2020/xava/style/materialdesignicons.min.css.map HTTP/1.1" 404 1079
